courseid,userid,name,city,lastaccess
2060,239,Isabelle Santos,Recife,1575420565
2060,275,Bruno Gomes,Tabira,1575458644
2060,438,Júlio Araujo,Jaboatão dos Guararapes,1575512036
2060,446,Antônio Barros,Recife,1570562406
2060,739,Kauan Pinto,Pedra,1575646559
2060,1479,Laura Cardoso,Cortês,1575151496
2060,1694,Maria Costa,Camaragibe,1575603180
2060,1816,Tiago Almeida,Recife,1575476872
2060,1989,Paulo Pinto,Petrolina,1575632066
2060,2764,Luiz Fernandes,Garanhuns,1573041759
2060,3055,Murilo Fernandes,Cortês,1575400147
2060,3129,Beatriz Barros,PERNAMBUCO,1575625800
2060,3198,Brenda Silva,Trindade,1575472084
2060,3236,Alice Azevedo,Casinhas,1575428410
2060,3293,Luiz Gomes,Paudalho,1575475804
2060,3314,Arthur Rocha,Trindade,1575407389
2060,3317,Luana Sousa,Camaragibe,1575414496
2060,3363,Matilde Silva,Paudalho,1575478962
2060,3433,Eduarda Dias,São Lourenço da Mata,1575415656
2060,3434,Isabela Cardoso,Araripina,1574246578
2060,3491,Beatrice Carvalho,PERNAMBUCO,1574174264
2060,3597,Gabriela Goncalves,Itacuruba,1575381343
2060,3762,Vitór Castro,Recife,1575415399
2060,3866,Carla Cardoso,Jaboatão dos Guararapes,1572949344
2060,3917,Ryan Azevedo,Paulista,1575419593
2060,3964,Douglas Carvalho,Recife,1575448815
2060,5323,Murilo Oliveira,Paulista,1575474246
2060,5444,Matilde Rocha,Jaboatão dos Guararapes,1575417874
2060,5727,Beatrice Martins,Vitória de Santo Antão,1575484993
2060,5748,Kauan Barbosa,Custódia,1575430079
2060,6434,Camila Dias,Buíque,1575560013
2060,6564,Sofia Almeida,Recife,1575426048
2060,7159,Nicolash Oliveira,Olinda,1575425926
2060,7184,Marisa Rodrigues,Arcoverde,1575394965
2060,7204,Carla Rocha,Abreu e Lima,1575426927
2060,7329,Antônio Melo,Cabrobó,1575384371
2060,7574,Gabriela Cardoso,Cabrobó,1575457681
2060,7774,Lara Goncalves,Camaragibe,1575401427
2060,7991,Joao Souza,Paudalho,1575456238
2060,8102,Paulo Oliveira,Jaboatão dos Guararapes,1575414808
2060,8163,Breno Cunha,Carpina,1573174155
2060,8196,Vitoria Araujo,Jaboatão dos Guararapes,1575427459
2060,8463,Evelyn Cardoso,Afogados da Ingazeira,1575422704
2060,8691,Miguel Azevedo,Afogados da Ingazeira,1575418019
2060,8850,Evelyn Lima,Cabrobó,1575505986
2060,9275,Emily Almeida,Olinda,1572368792
2060,9495,Laura Lima,São João,1572387423
2060,9530,Kaua Melo,Salgueiro,1575457044
2060,9760,Kauã Rocha,Paulista,1575458443
2060,9875,Luiz Araujo,Ibimirim,1575387631
2060,9924,Julian Pereira,Lajedo,1575518208
2060,9929,Bruna Costa,Lajedo,1575518285
2060,10174,Larissa Cardoso,Dormentes,1575467471
2060,10277,Otávio Pereira,Palmares,1574808546
2060,10444,Maria Barbosa,Jaboatão dos Guararapes,1575412697
2060,10803,Thiago Cardoso,Recife,1575422042
2060,10954,Leonardo Araujo,Caruaru,1575427829
2060,10995,Vitória Cavalcanti,Salgueiro,1575548765
2060,11315,José Santos,Garanhuns,1575483588
2060,11456,Thiago Castro,Recife,1575415902
2060,11631,Yasmin Ferreira,Serra Talhada,1573123536
2060,12536,Isabela Santos,Floresta,1575470270
2060,13014,Lara Barros,Afrânio,1575382456
2060,13113,Victor Azevedo,Gravatá,1574212515
2060,13338,Ágatha Cardoso,Jatobá,1575517756
2060,13434,Rebeca Oliveira,Jaboatão dos Guararapes,1575595130
2060,13458,Carolina Araujo,Trindade,1575592288
2060,13545,Julieta Correia,Vitória de Santo Antão,1575335104
2060,13587,Carlos Barros,Nazaré da Mata,1574088995
2060,13749,Julian Dias,Recife,1575390205
2060,13845,Erick Barbosa,Tabira,1575297976
2060,13899,Antônio Fernandes,Casinhas,1575447931
2060,13909,Isabelle Souza,Jaboatão dos Guararapes,1575544604
2060,13984,Douglas Santos,Lajedo,1575403158
2060,14059,Samuel Correia,São Lourenço da Mata,1575583016
2060,14255,André Cunha,Bom Jardim,1575485558
2060,14297,Sofia Carvalho,Floresta,1575497180
2060,14319,Matilde Pinto,Santa Cruz do Capibaribe,1575600304
2060,14516,Lucas Oliveira,Moreno,1575492131
2060,15029,Vinicius Sousa,Recife,1575475132
2060,15038,Julieta Pereira,Santa Cruz do Capibaribe,1574353789
2060,15042,Livia Cardoso,Olinda,1575599646
2060,15123,Tomás Santos,Bom Jardim,1575417138
2060,15316,Paulo Lima,Jaboatão dos Guararapes,1573768562
